City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,contamana,-7.3333,-75.0167,35.21,40,86,2.87,PE,1699910016
235,ayacucho,-13.1583,-74.2239,22.85,44,82,4.87,PE,1699909749
236,carnarvon,-24.8667,113.6333,20.05,76,30,4.41,AU,1699910017
237,georgetown,5.4112,100.3354,25.01,94,20,0.0,MY,1699909994
238,bardai,11.65,7.2333,23.48,22,86,3.15,NG,1699910017
239,kourou,5.1552,-52.6478,30.03,79,49,4.01,GF,1699910017
240,qamdo,31.1667,97.2333,-5.79,53,0,1.88,CN,1699910017
241,sechura,-5.5569,-80.8222,26.81,57,16,8.5,PE,1699910017
242,makurazaki,31.2667,130.3167,10.11,67,1,2.63,JP,1699910018
243,imbituba,-28.24,-48.6703,22.0,97,100,0.23,BR,1699910018
244,tabas,33.5959,56.9244,18.33,27,99,0.5,IR,1699910018
245,heyuan,23.7333,114.6833,11.5,83,74,1.92,CN,1699910018
246,yumbel,-37.0833,-72.5667,18.13,41,14,4.8,CL,1699910018
247,kirkland lake,48.1446,-80.0377,2.16,100,100,0.51,CA,1699910019
248,antofagasta,-23.65,-70.4,18.6,68,18,5.46,CL,1699909365
249,pabna,24.0,89.25,21.15,73,9,2.58,BD,1699910019
250,sinabang,2.4803,96.3801,25.52,87,100,1.77,ID,1699910019
251,dwarka,22.2394,68.9678,26.65,47,100,3.18,IN,1699910019
252,san luis de la loma,17.2706,-100.8939,30.46,69,22,3.67,MX,1699910019
253,palmer,42.1584,-72.3287,5.9,51,100,2.57,US,1699909818
254,asilah,35.465,-6.0348,17.98,70,97,2.78,MA,1699910020
255,poyang,28.9924,116.6675,7.45,65,33,2.27,CN,1699910020
256,meiganga,6.5167,14.3,20.15,92,98,0.84,CM,1699910020
257,carutapera,-1.195,-46.02,26.68,75,26,3.64,BR,1699910020
258,mayqayyng,51.4625,75.7986,3.25,87,97,4.47,KZ,1699910020
259,fauske,67.2588,15.3918,-2.35,66,1,3.25,NO,1699910021
260,laojunmiao,39.8333,97.7333,-1.04,39,55,3.7,CN,1699910021
261,toliara,-23.35,43.6667,21.8,79,9,4.96,MG,1699910021
262,nanning,22.8167,108.3167,11.73,81,97,2.03,CN,1699909797
263,vuktyl,63.8567,57.3094,-4.94,76,100,4.02,RU,1699910021
264,bushehr,28.9684,50.8385,25.01,54,14,1.67,IR,1699910021
265,kapuskasing,49.4169,-82.4331,1.05,93,100,6.17,CA,1699909802
266,kingston,17.997,-76.7936,32.53,70,20,10.29,JM,1699909536
267,cockburn town,21.4612,-71.1419,28.07,76,2,7.75,TC,1699909912
268,atafu village,-8.5421,-172.5159,29.46,74,96,3.81,TK,1699910022
269,antigonish,45.6169,-61.9986,3.23,93,99,1.34,CA,1699910022
270,griffith,41.5284,-87.4237,17.86,29,0,6.17,US,1699910022
271,port hedland,-20.3167,118.5667,21.03,88,40,3.6,AU,1699910022
272,san carlos,9.6612,-68.5827,27.92,77,89,1.41,VE,1699909497
273,tralee,52.2704,-9.7026,11.07,87,65,7.02,IE,1699910022
274,port augusta,-32.5,137.7667,18.42,65,86,6.6,AU,1699910022
275,lianyuan,27.6883,111.6642,6.54,79,63,0.78,CN,1699910022
276,peniche,39.3558,-9.3811,17.47,90,61,3.21,PT,1699909836
277,bhamo,24.2667,97.2333,18.71,84,2,0.59,MM,1699910023
278,lensk,60.7253,114.9278,-5.89,92,99,4.07,RU,1699910023
279,kirensk,57.7853,108.1119,-3.91,95,100,4.47,RU,1699910023
280,lewiston orchards,46.3804,-116.9754,12.92,68,0,6.17,US,1699910023
281,ghat,24.9647,10.1728,20.69,31,0,2.78,LY,1699910024
282,norton,-17.8833,30.7,22.38,41,66,3.93,ZW,1699910024
283,pisco,-13.7,-76.2167,22.03,73,0,7.2,PE,1699910024
284,yeppoon,-23.1333,150.7333,21.88,64,0,1.64,AU,1699910024
285,praia,14.9215,-23.5087,27.3,47,0,4.63,CV,1699910024
286,chadron,42.8294,-102.9999,19.82,19,0,7.72,US,1699910024
287,uruguaiana,-29.7547,-57.0883,20.82,95,100,3.67,BR,1699910024
288,villa gesell,-37.2639,-56.973,16.7,45,4,7.62,AR,1699910024
289,orlov,58.5395,48.8917,6.25,91,100,4.69,RU,1699910025
290,nahiyat al fuhud,30.9697,46.7228,23.59,32,2,2.34,IQ,1699910025
291,sisimiut,66.9395,-53.6735,-7.95,78,100,4.7,GL,1699910025
292,brisas de zicatela,15.8369,-97.0419,30.63,64,93,2.25,MX,1699910025
293,eldorado,-23.7869,-54.2836,27.61,70,100,1.44,BR,1699909819
294,key west,24.5557,-81.7826,28.33,78,100,5.14,US,1699910025
295,villa juarez,24.6536,-107.5411,35.14,31,20,0.0,MX,1699910025
296,khandud,36.9513,72.318,-7.18,58,0,0.48,AF,1699910025
297,as samu',31.3991,35.067,19.82,68,88,2.71,PS,1699910025
298,nova sintra,14.8667,-24.7167,23.86,72,66,2.77,CV,1699910026
299,puerto aysen,-45.4,-72.7,5.07,95,100,4.22,CL,1699910026
300,dolinsk,47.35,142.8,-5.16,81,32,2.93,RU,1699910026
301,samho-rodongjagu,39.9475,127.8711,2.47,48,21,1.49,KP,1699910026
302,xining,36.6167,101.7667,-0.48,64,0,0.83,CN,1699910026
303,simpang,-1.2667,104.0833,24.64,94,79,1.11,ID,1699910026
304,okha,53.5739,142.9478,-7.89,84,93,3.94,RU,1699910026
305,ketchikan,55.3422,-131.6461,6.99,70,0,3.6,US,1699910027
306,dagomys,43.6703,39.6689,12.97,77,100,3.96,RU,1699910027
307,lazaro cardenas,17.9583,-102.2,29.85,67,42,3.78,MX,1699910027
308,vadso,70.0744,29.7487,-9.91,92,40,7.2,NO,1699910027
309,xilin hot,43.9667,116.0333,-11.82,82,8,2.61,CN,1699910027
310,selkirk,50.1436,-96.8845,6.04,94,100,2.68,CA,1699910027
311,perevolotskiy,51.8763,54.1938,5.68,79,100,6.31,RU,1699910027
312,zag,46.9441,99.165,-14.54,86,52,1.54,MN,1699910027
313,hermanus,-34.4187,19.2345,16.06,78,3,8.98,ZA,1699910028
314,monte santo,-10.4378,-39.3328,29.32,24,3,2.25,BR,1699910028
315,igarka,67.4667,86.5833,-10.62,91,98,7.64,RU,1699910028
316,kamyzyak,46.11,48.0736,6.99,93,67,0.0,RU,1699910028
317,tupiza,-21.45,-65.7167,25.42,7,30,9.0,BO,1699909755
318,happy valley-goose bay,53.3168,-60.3315,-0.83,64,75,3.6,CA,1699910028
319,cidade velha,14.9167,-23.6167,27.26,47,0,4.63,CV,1699910028
320,mossendjo,-2.9506,12.7261,22.06,97,99,0.69,CG,1699910028
